zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
94561,1842,1851,35912,0.0512920472265538,17.780310879864295,46368.0
90600,0,0,0,,,
93134,0,0,1,0.0,,
95668,17,17,953,0.017838405036726127,65.13427751981959,515.0
96066,0,0,1,0.0,,
97707,2,2,18,0.1111111111111111,63.053113820259426,6661.0
92606,2471,2515,17219,0.14350426854056567,3.4660462667147733,23990.0
98384,0,0,2,0.0,,
92132,0,0,10,0.0,0.0323065344793601,0.0
92285,37,37,1509,0.024519549370444003,272.1671357437861,2764.0
93448,18,18,781,0.023047375160051217,,
96732,1,1,17,0.058823529411764705,13.474423881601794,27444.0
92237,0,0,2,0.0,,
99725,0,0,1,0.0,4.840664514871157,448.0
96555,0,0,1,0.0,,
99755,0,0,1,0.0,184.13095885540852,987.0
90959,0,0,0,,,
93121,4,5,221,0.01809954751131222,,
94757,0,0,1,0.0,,
90716,188,196,8991,0.020909798687576465,0.9212619215913528,13599.0
92201,937,937,43112,0.021734087956949342,16.221005156631904,65825.0
90797,0,0,0,,,
92570,948,956,45520,0.020826010544815466,106.3817219609225,58082.0
92140,1,1,87,0.011494252873563218,0.5475596179467197,2038.0
98802,0,0,15,0.0,183.1930315324995,33539.0
93611,1345,1345,36033,0.037326894790886134,10.343714968363324,46624.0
90662,1,1,88,0.011363636363636364,,
96634,0,0,2,0.0,,
96024,15,15,927,0.016181229773462782,104.6480182020405,1082.0
96201,0,0,1,0.0,,
97086,2,2,37,0.05405405405405406,10.476025219949484,34567.0
90967,0,0,0,,,
96910,0,0,3,0.0,16.025840802920143,
93644,117,117,6969,0.016788635385277657,117.19154609146233,7614.0
93150,32,32,417,0.07673860911270983,,
97886,0,0,1,0.0,145.38488301737712,1221.0
90733,9,9,327,0.027522935779816515,,
98202,0,0,1,0.0,,
96164,0,0,1,0.0,,
95314,0,0,2,0.0,,
94775,0,0,0,,,
93708,0,0,31,0.0,,
96101,14,14,4820,0.002904564315352697,607.5889160211651,5142.0
95200,0,0,4,0.0,,
94597,1572,1578,16924,0.09288584259040417,4.052792307527861,23129.0
90678,0,0,0,,,
91925,0,0,1,0.0,,
90903,1,1,2,0.5,,
95820,626,629,23059,0.027147751420269744,5.267308157577757,35410.0
90361,0,0,1,0.0,,
90220,629,645,32773,0.01919262807799103,6.978526240765914,48354.0
90858,0,0,0,,,
94571,409,409,9399,0.04351526758165762,122.49519909381154,10974.0
95037,4755,4765,44336,0.10724918801876579,121.95031541351698,51943.0
91050,0,0,0,,,
91531,0,0,1,0.0,,
95549,42,42,772,0.054404145077720206,138.85696535433348,1024.0
98572,0,0,1,0.0,34.99355278898777,834.0
90094,1350,1353,6041,0.2234729349445456,0.7173254424174349,11764.0
98040,9,9,66,0.13636363636363635,12.90061169704228,25307.0
91109,30,30,864,0.034722222222222224,,
90262,632,645,41973,0.015057298739665976,4.772140114072732,64235.0
95092,0,0,2,0.0,,
91788,27,27,416,0.06490384615384616,,
97116,0,0,15,0.0,82.25505602549327,29800.0
95970,3,3,531,0.005649717514124294,32.70136979163021,453.0
91200,0,0,1,0.0,,
92351,0,0,2,0.0,,
98115,7,7,74,0.0945945945945946,8.554137289774777,54349.0
93408,10,10,141,0.07092198581560284,0.021533906346922652,6.0
95904,0,0,1,0.0,,
96135,0,0,100,0.0,34.825792594133844,0.0
92292,0,0,1,0.0,,
90766,0,0,1,0.0,,
94948,13,13,743,0.017496635262449527,,
94131,2509,2525,16120,0.15564516129032258,2.0415538107517106,28504.0
92399,1394,1397,43048,0.03238245679241777,53.65140492057196,55366.0
94940,20,20,159,0.12578616352201258,30.904512990770755,148.0
99517,0,0,12,0.0,3.363220017811761,16486.0
98039,2,2,13,0.15384615384615385,5.853163981804404,2928.0
92070,18,18,1705,0.010557184750733138,134.3029921084114,607.0
99521,1,1,1,1.0,,
92523,0,0,1,0.0,,
96110,0,0,102,0.0,118.12486585610179,65.0
93301,225,225,11251,0.01999822238023287,4.4185402529795486,13620.0
